petscii_code,screen_code,basic_repr,char_name,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7
64,0,@,commercial at,3C,66,6E,6E,60,62,3C,00
65,1,A,A,18,3C,66,7E,66,66,66,00
66,2,B,B,7C,66,66,7C,66,66,7C,00
67,3,C,C,3C,66,60,60,60,66,3C,00
68,4,D,D,78,6C,66,66,66,6C,78,00
69,5,E,E,7E,60,60,78,60,60,7E,00
70,6,F,F,7E,60,60,78,60,60,60,00
71,7,G,G,3C,66,60,6E,66,66,3C,00
72,8,H,H,66,66,66,7E,66,66,66,00
73,9,I,I,3C,18,18,18,18,18,3C,00
74,10,J,J,1E,0C,0C,0C,0C,6C,38,00
75,11,K,K,66,6C,78,70,78,6C,66,00
76,12,L,L,60,60,60,60,60,60,7E,00
77,13,M,M,63,77,7F,6B,63,63,63,00
78,14,N,N,66,76,7E,7E,6E,66,66,00
79,15,O,O,3C,66,66,66,66,66,3C,00
80,16,P,P,7C,66,66,7C,60,60,60,00
81,17,Q,Q,3C,66,66,66,66,3C,0E,00
82,18,R,R,7C,66,66,7C,78,6C,66,00
83,19,S,S,3C,66,60,3C,06,66,3C,00
84,20,T,T,7E,18,18,18,18,18,18,00
85,21,U,U,66,66,66,66,66,66,3C,00
86,22,V,V,66,66,66,66,66,3C,18,00
87,23,W,W,63,63,63,6B,7F,77,63,00
88,24,X,X,66,66,3C,18,3C,66,66,00
89,25,Y,Y,66,66,66,3C,18,18,18,00
90,26,Z,Z,7E,06,0C,18,30,60,7E,00
91,27,[,left square bracket,66,18,3C,66,7E,66,66,00
92,28,\,reverse solidus,66,3C,66,66,66,66,3C,00
93,29,],right square bracket,18,24,3C,66,7E,66,66,00
94,30,^,circumflex accent,00,18,3C,7E,18,18,18,18
95,31,_,low line,00,10,30,7F,7F,30,10,00
32,32, ,space,00,00,00,00,00,00,00,00
33,33,!,exclamation mark,18,18,18,18,00,00,18,00
34,34,"""",quotation mark,66,66,66,00,00,00,00,00
35,35,#,number sign,66,66,FF,66,FF,66,66,00
36,36,$,dollar sign,18,3E,60,3C,06,7C,18,00
37,37,%,percent sign,62,66,0C,18,30,66,46,00
38,38,&,ampersand,3C,66,3C,38,67,66,3F,00
39,39,',apostrophe,06,0C,18,00,00,00,00,00
40,40,(,left parenthesis,0C,18,30,30,30,18,0C,00
41,41,),right parenthesis,30,18,0C,0C,0C,18,30,00
42,42,*,asterisk,00,66,3C,FF,3C,66,00,00
43,43,+,plus sign,00,18,18,7E,18,18,00,00
44,44,",",comma,00,00,00,00,00,18,18,30
45,45,-,hyphen-minus,00,00,00,7E,00,00,00,00
46,46,.,full stop,00,00,00,00,00,18,18,00
47,47,/,solidus,00,03,06,0C,18,30,60,00
48,48,0,digit zero,3C,66,6E,76,66,66,3C,00
49,49,1,digit one,18,18,38,18,18,18,7E,00
50,50,2,digit two,3C,66,06,0C,30,60,7E,00
51,51,3,digit three,3C,66,06,1C,06,66,3C,00
52,52,4,digit four,06,0E,1E,66,7F,06,06,00
53,53,5,digit five,7E,60,7C,06,06,66,3C,00
54,54,6,digit six,3C,66,60,7C,66,66,3C,00
55,55,7,digit seven,7E,66,0C,18,18,18,18,00
56,56,8,digit eight,3C,66,66,3C,66,66,3C,00
57,57,9,digit nine,3C,66,66,3E,06,66,3C,00
